,name,pos,valueOverNextRound,ADP,chanceOfStayingOnBoard,preds,pct_better,total_pt_gains,chanceOfStayingOnBoardTwoRounds,chanceOfStayingOnThreeRounds,valueOverTwoRounds,valueOverThreeRounds,auction_value
0,CeeDeeLamb,WR,27.840348311793207,16.8,0.34,118.31784000000006,0.9,135.86452,0.29979159546869594,0.001865813300384045,30.647666136562435,79.10218688135572,59.32791540656604
1,JustinJefferson,WR,29.002948311793205,1.2,0.0,110.67784000000013,0.864,137.02712,0.0,0.0,31.810266136562433,80.26478688135572,60.07193789392675
2,AJBrown,WR,-4.268371688206813,20.4,0.52,75.9469199999999,0.802,103.75579999999998,0.474820386469343,0.019548814541998305,-1.4610538634375843,46.9934668813557,38.77948110382353
3,JaMarrChase,WR,-1.779371688206794,3.5999999999999996,0.0,74.16907999999992,0.766,106.2448,1.7014167852380524e-12,0.0,1.0279461365624343,49.48246688135572,40.37235222978329
4,DavanteAdams,WR,-12.026971688206785,13.2,0.15,55.74195999999994,0.744,95.9972,0.11506967022170822,1.869223918526952e-05,-9.219653863437557,39.23486688135573,33.81425413802554
5,CooperKupp,WR,-17.309571688206788,7.199999999999999,0.0,47.279919999999954,0.672,90.7146,0.0002802932768162236,1.1102230246251565e-16,-14.50225386343756,33.952266881355726,30.4335787623747
6,StefonDiggs,WR,-23.250651688206787,15.6,0.28,46.68535999999994,0.678,84.77352,0.23576249777925118,0.0005702980649423539,-20.44333386343756,28.011186881355727,26.631499698888604
7,AmonRaSt,WR,-23.420371688206785,19.2,0.46,35.96995999999997,0.64,84.6038,0.420740290560897,0.010413359209551665,-20.613053863437557,27.84146688135573,26.522884959034087
8,GarrettWilson,WR,-31.672811688206792,18.0,0.41,31.699359999999963,0.662,76.35136,0.36206627019445947,0.004823452995317057,-28.865493863437564,19.58902688135572,21.24161802664549
9,DeVontaSmith,WR,-34.55257168820678,34.8,0.83,29.384240000000002,0.672,73.47160000000001,0.813353650143902,0.3686300547915029,-31.745253863437554,16.70926688135573,19.39867445344589
